"DiamondLogId";"UniqueUserId";"DiamondTotal";"PaymentType";"DiamondUsage";"UsageDate"
"e4f60fdb-3fd3-47cd-9cf6-bcd1adbd4808";"123";"5";"topup";NULL;"2019-12-03 06:26:38"
"e53f9361-0539-4560-a138-4073875bf58d";"128";"5";"topup";NULL;"2019-10-13 03:10:46"
"e58418f5-82c5-461a-be26-aab5d6a0e0ab";"43";"3";"charge";"Full Tryout Registration: TryOut UTBK 2020 #3 - Saintek STG 2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"2019-12-11 20:50:46"
"e5b068d2-3f03-4254-8f09-f827c1f8c5b3";"104";"5";"topup";NULL;"2019-10-13 03:10:37"
"e5c03040-a6d4-4dfe-b79f-2ab1694f0915";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-28 04:22:31"
"e6563547-271c-4ef4-ab8e-bc53e286dca2";"126";"5";"topup";NULL;"2019-10-12 12:13:32"
"e66e3b16-c090-4bf8-8959-6859c63a5e68";"119";"5";"topup";NULL;"2019-10-12 12:13:33"
"e66ef109-57ef-43ff-abb8-e1a72aeddec9";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-28 05:24:54"
"e66fc728-dbcb-4f00-a171-a9e6631838df";"123";"5";"topup";NULL;"2019-10-24 04:21:12"
"e710647a-f848-477e-9bf2-f6b22d9d9c7e";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 04:23:21"
"e74043d4-ed28-4da0-b94d-b3fa78e37197";"142";"3";"charge";"Full Tryout Registration: TryOut UTBK 2020 #3 - Saintek STG 2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"2019-12-12 10:03:01"
"e76dd7a1-d9ad-4b59-a5f4-947192eeee64";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-22 04:02:13"
"e79031e7-f1cd-4416-9155-63252181266e";"123";"5";"topup";NULL;"2019-10-24 02:54:14"
"e7ac3911-5bab-42a8-abe4-17f64372a954";"128";"5";"charge";"Full Tryout Registration: TEST TryOut UTBK 2020 #2 - Saintek STG 3910cbc4-ecd6-477c-b158-bd3064d3451a";"2019-12-19 02:55:25"
"e7da0047-0e60-4a32-bf5f-e8ae5d6acaff";"127";"10";"charge";"Manual Booking Konseling 1on1";"2019-10-22 06:00:17"
"e86ff79a-2ade-4c00-81dd-3e324585268c";"118";"5";"topup";NULL;"2019-10-13 03:10:40"
"e8c6fe1b-6421-4301-b66b-e88801c3ca6a";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-19 04:09:50"
"e93d6312-b437-4ee5-950a-c7bb99f05dac";"97";"5";"topup";NULL;"2019-10-13 03:10:36"
"e9d04359-cbdf-42cd-87e8-46283d230087";"123";"6";"topup";"Coba topup";"2019-10-24 07:37:18"
"e9fe3551-7cc0-4c88-a1d8-759381e97d60";"135";"5";"charge";"Aptitude test reservation";"2019-11-28 03:45:04"
"ea13391b-dbee-4736-8f8d-aaebed7b88b1";"43";"5";"charge";"Aptitude test reservation";"2019-12-10 12:00:04"
"ea6658e7-f1dc-4e8f-a7c8-c483d744ae5b";"128";"5";"charge";"Video Tryout Registration: TryOut UTBK 2020 #1 - Saintek STG 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-12-25 19:41:57"
"ea777613-58fe-4c78-a261-4f2b593375df";"47";"5";"topup";NULL;"2019-10-12 12:13:26"
"eb88399f-2c4f-4fa1-94b0-702b92f03ed0";"132";"5";"topup";NULL;"2019-12-04 10:20:04"
"ed0f917d-1062-4367-827a-08c935a0eaf3";"135";"5";"charge";"Aptitude test reservation";"2019-11-27 03:13:47"
"ed1210cf-2018-413b-9442-f29ef9781b60";"127";"5";"charge";"Full Tryout Registration: TEST TryOut UTBK 2020 #2 - Saintek STG 3910cbc4-ecd6-477c-b158-bd3064d3451a";"2019-11-17 19:11:49"
"ed4f1bab-8c88-49af-8691-26c60e392a3f";"123";"5";"topup";NULL;"2019-12-04 03:57:22"
"ed78e93b-1c60-40bd-9ea3-de2af538940f";"104";"0";"charge";"Free Tryout Registration: TryOut UTBK 2020 #1 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-10-08 08:34:17"
"ef7b7241-1b67-4750-98ce-20cf71a935c7";"22";"0";"charge";"Free Tryout Registration: TryOut UTBK 2020 #1 - Saintek 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-10-14 11:18:26"
"eff2be87-dc4f-40fd-82ec-c4f6bf999b5c";"135";"5";"charge";"Aptitude test reservation";"2019-11-28 04:11:55"
"f04701ac-76c1-4f5d-b58f-6279cb937c82";"123";"5";"topup";NULL;"2019-12-05 03:46:30"
"f069bfb9-dab4-4dfc-917d-2db92f23a2a6";"120";"5";"topup";NULL;"2019-10-13 04:33:12"
"f1218982-d482-433b-8660-d91e09ec56cc";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-19 10:39:56"
"f1269858-0a38-4b83-a853-f38858e70164";"135";"5";"charge";"Aptitude test reservation";"2019-11-27 03:15:49"
"f1c728a4-d978-4bea-b6c6-5195defbf8ce";"123";"1";"topup";NULL;"2019-10-07 06:43:41"
